indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
1,250,10,2,,17,0,17,220,13,0,94.42,0,92.83
2,250,20,2,,36,2,34,203,11,5.56,94.86,15.38,85.65
3,250,25,2,,39,1,38,199,12,2.56,94.31,7.69,83.97
4,250,30,2,,48,0,48,189,13,0,93.56,0,79.75
5,250,40,2,,54,5,49,188,8,9.26,95.92,38.46,79.32
6,250,50,2,,80,6,74,163,7,7.5,95.88,46.15,68.78
7,250,10,3,,21,0,21,216,13,0,94.32,0,91.14
8,250,20,3,,32,2,30,207,11,6.25,94.95,15.38,87.34
9,250,25,3,,54,2,52,185,11,3.7,94.39,15.38,78.06
10,250,30,3,,49,2,47,190,11,4.08,94.53,15.38,80.17
11,250,40,3,,71,1,70,167,12,1.41,93.3,7.69,70.46
12,250,50,3,,85,2,83,154,11,2.35,93.33,15.38,64.98
13,250,10,4,,18,0,18,219,13,0,94.4,0,92.41
14,250,20,4,,29,2,27,210,11,6.9,95.02,15.38,88.61
15,250,25,4,,39,4,35,202,9,10.26,95.73,30.77,85.23
16,250,30,4,,60,3,57,180,10,5,94.74,23.08,75.95
17,250,40,4,,68,1,67,170,12,1.47,93.41,7.69,71.73
18,250,50,4,,92,4,88,149,9,4.35,94.3,30.77,62.87
19,250,10,5,,31,6,25,212,7,19.35,96.8,46.15,89.45
20,250,20,5,,42,1,41,196,12,2.38,94.23,7.69,82.7
21,250,25,5,,43,4,39,198,9,9.3,95.65,30.77,83.54
22,250,30,5,,55,1,54,183,12,1.82,93.85,7.69,77.22
23,250,40,5,,58,4,54,183,9,6.9,95.31,30.77,77.22
24,250,50,5,,60,6,54,183,7,10,96.32,46.15,77.22
25,500,10,2,,38,3,35,440,22,7.89,95.24,12,92.63
26,500,20,2,,96,2,94,381,23,2.08,94.31,8,80.21
27,500,25,2,,75,2,73,402,23,2.67,94.59,8,84.63
28,500,30,2,,81,4,77,398,21,4.94,94.99,16,83.79
29,500,40,2,,126,5,121,354,20,3.97,94.65,20,74.53
30,500,50,2,,140,3,137,338,22,2.14,93.89,12,71.16
31,500,60,2,,166,9,157,318,16,5.42,95.21,36,66.95
32,500,70,2,,192,12,180,295,13,6.25,95.78,48,62.11
33,500,75,2,,184,8,176,299,17,4.35,94.62,32,62.9532
34,500,10,3,,39,4,35,440,21,10.26,95.44,16,92.63
35,500,20,3,,58,1,57,418,24,1.72,94.57,4,88
36,500,25,3,,67,6,61,414,19,8.96,95.61,24,87.16
37,500,30,3,,90,3,87,388,22,3.33,94.63,12,81.68
38,500,40,3,,123,5,118,357,20,4.07,94.69,20,75.16
