indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
1,250,10,2,,39,3,36,201,10,7.69,95.26,23.08,84.81
2,250,20,2,,16,0,16,221,13,0,94.44,0,93.25
3,250,25,2,,24,1,23,214,12,4.17,94.69,7.69,90.3
4,250,30,2,,12,0,12,225,13,0,94.54,0,94.94
5,250,40,2,,8,2,6,231,11,25,95.45,15.38,97.47
6,250,50,2,,11,0,11,226,13,0,94.56,0,95.36
7,250,10,3,,41,1,40,197,12,2.44,94.26,7.69,83.12
8,250,20,3,,18,1,17,220,12,5.56,94.83,7.69,92.83
9,250,25,3,,14,0,14,223,13,0,94.49,0,94.09
10,250,30,3,,13,1,12,225,12,7.69,94.94,7.69,94.94
11,250,40,3,,11,0,11,226,13,0,94.56,0,95.36
12,250,50,3,,4,0,4,233,13,0,94.72,0,98.31
13,250,10,4,,42,2,40,197,11,4.76,94.71,15.38,83.12
14,250,20,4,,27,2,25,212,11,7.41,95.07,15.38,89.45
15,250,25,4,,23,2,21,216,11,8.7,95.15,15.38,91.14
16,250,30,4,,16,0,16,221,13,0,94.44,0,93.25
17,250,40,4,,11,0,11,226,13,0,94.56,0,95.36
18,250,50,4,,10,1,9,228,12,10,95,7.69,96.2
19,250,10,5,,37,7,30,207,6,18.92,97.18,53.85,87.34
20,250,20,5,,20,0,20,217,13,0,94.35,0,91.56
21,250,25,5,,18,2,16,221,11,11.11,95.26,15.38,93.25
22,250,30,5,,18,0,18,219,13,0,94.4,0,92.41
23,250,40,5,,7,0,7,230,13,0,94.65,0,97.05
24,250,50,5,,10,0,10,227,13,0,94.58,0,95.78
25,500,10,2,,85,7,78,397,18,8.24,95.66,28,83.58
26,500,20,2,,48,1,47,428,24,2.08,94.69,4,90.11
27,500,25,2,,34,0,34,441,25,0,94.64,0,92.84
28,500,30,2,,34,5,29,446,20,14.71,95.71,20,93.89
29,500,40,2,,19,1,18,457,24,5.26,95.01,4,96.21
30,500,50,2,,17,0,17,458,25,0,94.82,0,96.42
31,500,60,2,,12,2,10,465,23,16.67,95.29,8,97.89
32,500,70,2,,3,0,3,472,25,0,94.97,0,99.37
33,500,75,2,,4,0,4,471,25,0,94.96,0,99.16
