indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
1,250,10,2,,3,0,3,234,13,0,94.74,0,98.73
2,250,20,2,,1,0,1,236,13,0,94.78,0,99.58
3,250,25,2,,0,0,0,238,12,NaN,95.2,0,100
4,250,30,2,,0,0,0,238,12,NaN,95.2,0,100
5,250,40,2,,0,0,0,238,12,NaN,95.2,0,100
6,250,50,2,,0,0,0,238,12,NaN,95.2,0,100
7,250,10,3,,2,0,2,235,13,0,94.76,0,99.16
8,250,20,3,,1,0,1,236,13,0,94.78,0,99.58
9,250,25,3,,0,0,0,238,12,NaN,95.2,0,100
10,250,30,3,,0,0,0,238,12,NaN,95.2,0,100
11,250,40,3,,0,0,0,238,12,NaN,95.2,0,100
12,250,50,3,,0,0,0,238,12,NaN,95.2,0,100
13,250,10,4,,1,0,1,236,13,0,94.78,0,99.58
14,250,20,4,,1,0,1,236,13,0,94.78,0,99.58
15,250,25,4,,0,0,0,238,12,NaN,95.2,0,100
16,250,30,4,,0,0,0,238,12,NaN,95.2,0,100
17,250,40,4,,0,0,0,238,12,NaN,95.2,0,100
18,250,50,4,,0,0,0,238,12,NaN,95.2,0,100
19,250,10,5,,4,0,4,233,13,0,94.72,0,98.31
20,250,20,5,,0,0,0,238,12,NaN,95.2,0,100
21,250,25,5,,0,0,0,238,12,NaN,95.2,0,100
22,250,30,5,,0,0,0,238,12,NaN,95.2,0,100
23,250,40,5,,0,0,0,238,12,NaN,95.2,0,100
24,250,50,5,,0,0,0,238,12,NaN,95.2,0,100
25,500,10,2,,2,0,2,473,25,0,94.98,0,99.58
26,500,20,2,,0,0,0,475,25,NaN,95,0,100
27,500,25,2,,1,0,1,474,25,0,94.99,0,99.79
28,500,30,2,,0,0,0,475,25,NaN,95,0,100
29,500,40,2,,0,0,0,475,25,NaN,95,0,100
30,500,50,2,,0,0,0,475,25,NaN,95,0,100
31,500,60,2,,0,0,0,475,25,NaN,95,0,100
32,500,70,2,,0,0,0,475,25,NaN,95,0,100
33,500,75,2,,0,0,0,475,25,NaN,95,0,100
34,500,10,3,,2,0,2,473,25,0,94.98,0,99.58
35,500,20,3,,0,0,0,475,25,NaN,95,0,100
36,500,25,3,,0,0,0,475,25,NaN,95,0,100
37,500,30,3,,0,0,0,475,25,NaN,95,0,100
38,500,40,3,,0,0,0,475,25,NaN,95,0,100
39,500,50,3,,0,0,0,475,25,NaN,95,0,100
40,500,60,3,,0,0,0,475,25,NaN,95,0,100
41,500,70,3,,0,0,0,475,25,NaN,95,0,100
42,500,75,3,,0,0,0,475,25,NaN,95,0,100
43,500,10,4,,7,1,6,469,24,14.29,95.13,4,98.74
44,500,20,4,,0,0,0,475,25,NaN,95,0,100
45,500,25,4,,0,0,0,475,25,NaN,95,0,100
46,500,30,4,,0,0,0,475,25,NaN,95,0,100
47,500,40,4,,0,0,0,475,25,NaN,95,0,100
48,500,50,4,,0,0,0,475,25,NaN,95,0,100
49,500,60,4,,0,0,0,475,25,NaN,95,0,100
50,500,70,4,,0,0,0,475,25,NaN,95,0,100
51,500,75,4,,0,0,0,475,25,NaN,95,0,100
52,500,10,5,,2,0,2,473,25,0,94.98,0,99.58
53,500,20,5,,0,0,0,475,25,NaN,95,0,100
54,500,25,5,,0,0,0,475,25,NaN,95,0,100
55,500,30,5,,0,0,0,475,25,NaN,95,0,100
56,500,40,5,,0,0,0,475,25,NaN,95,0,100
57,500,50,5,,0,0,0,475,25,NaN,95,0,100
58,500,60,5,,0,0,0,475,25,NaN,95,0,100
59,500,70,5,,0,0,0,475,25,NaN,95,0,100
60,500,75,5,,0,0,0,475,25,NaN,95,0,100
61,1000,10,2,,5,0,5,945,50,0,94.97,0,99.47
62,1000,20,2,,0,0,0,950,50,NaN,95,0,100
63,1000,25,2,,0,0,0,950,50,NaN,95,0,100
64,1000,30,2,,0,0,0,950,50,NaN,95,0,100
65,1000,40,2,,0,0,0,950,50,NaN,95,0,100
66,1000,50,2,,0,0,0,950,50,NaN,95,0,100
67,1000,60,2,,0,0,0,950,50,NaN,95,0,100
68,1000,70,2,,0,0,0,950,50,NaN,95,0,100
69,1000,75,2,,0,0,0,950,50,NaN,95,0,100
70,1000,80,2,,0,0,0,950,50,NaN,95,0,100
71,1000,90,2,,0,0,0,950,50,NaN,95,0,100
72,1000,100,2,,0,0,0,950,50,NaN,95,0,100
73,1000,10,3,,3,0,3,947,50,0,94.98,0,99.68
74,1000,20,3,,0,0,0,950,50,NaN,95,0,100
75,1000,25,3,,0,0,0,950,50,NaN,95,0,100
76,1000,30,3,,0,0,0,950,50,NaN,95,0,100
77,1000,40,3,,0,0,0,950,50,NaN,95,0,100
78,1000,50,3,,0,0,0,950,50,NaN,95,0,100
79,1000,60,3,,0,0,0,950,50,NaN,95,0,100
80,1000,70,3,,0,0,0,950,50,NaN,95,0,100
81,1000,75,3,,0,0,0,950,50,NaN,95,0,100
82,1000,80,3,,0,0,0,950,50,NaN,95,0,100
