samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
250,10,2,6.661306,14,12,2,235,1,85.71,99.58,92.31,99.16
250,20,2,10.248519,12,11,1,236,2,91.67,99.16,84.62,99.58
250,25,2,12.130117,13,12,1,236,1,92.31,99.58,92.31,99.58
250,30,2,13.642485,12,12,0,237,1,100,99.58,92.31,100
250,40,2,17.270589,15,13,2,235,0,86.67,100,100,99.16
250,50,2,20.692475,12,12,0,237,1,100,99.58,92.31,100
250,10,3,6.868573,21,13,8,229,0,61.9,100,100,96.62
250,20,3,10.358806,19,13,6,231,0,68.42,100,100,97.47
250,25,3,11.938032,23,12,11,226,1,52.17,99.56,92.31,95.36
250,30,3,13.615031,22,12,10,227,1,54.55,99.56,92.31,95.78
250,40,3,17.426562,20,12,8,229,1,60,99.57,92.31,96.62
250,50,3,20.494262,28,13,15,222,0,46.43,100,100,93.67
250,10,4,6.760018,45,12,33,204,1,26.67,99.51,92.31,86.08
250,20,4,10.26991,46,13,33,204,0,28.26,100,100,86.08
250,25,4,12.159691,46,13,33,204,0,28.26,100,100,86.08
250,30,4,13.839146,54,13,41,196,0,24.07,100,100,82.7
250,40,4,17.571118,35,12,23,214,1,34.29,99.53,92.31,90.3
250,50,4,20.993867,42,13,29,208,0,30.95,100,100,87.76
250,10,5,6.758703,64,13,51,186,0,20.31,100,100,78.48
250,20,5,10.147225,59,13,46,191,0,22.03,100,100,80.59
250,25,5,12.247497,63,13,50,187,0,20.63,100,100,78.9
250,30,5,13.670212,84,11,73,164,2,13.1,98.8,84.62,69.2
250,40,5,17.76918,66,13,53,184,0,19.7,100,100,77.64
250,50,5,21.085394,75,13,62,175,0,17.33,100,100,73.84
500,10,2,22.971747,45,25,20,455,0,55.56,100,100,95.79
500,20,2,36.93474,30,24,6,469,1,80,99.79,96,98.74
500,25,2,43.952692,26,25,1,474,0,96.15,100,100,99.79
500,30,2,49.991629,28,24,4,471,1,85.71,99.79,96,99.16
500,40,2,65.107688,28,24,4,471,1,85.71,99.79,96,99.16
500,50,2,78.243271,26,25,1,474,0,96.15,100,100,99.79
500,60,2,93.889758,25,24,1,474,1,96,99.79,96,99.79
500,70,2,110.508338,25,25,0,475,0,100,100,100,100
500,75,2,117.056277,26,23,3,472,2,88.46,99.58,92,99.37
500,10,3,23.972305,58,24,34,441,1,41.38,99.77,96,92.84
500,20,3,37.206664,48,24,24,451,1,50,99.78,96,94.95
500,25,3,49.768932,36,24,12,463,1,66.67,99.78,96,97.47
500,30,3,51.572505,42,25,17,458,0,59.52,100,100,96.42
500,40,3,64.963164,35,25,10,465,0,71.43,100,100,97.89
500,50,3,81.208456,35,25,10,465,0,71.43,100,100,97.89
500,60,3,97.40503,29,25,4,471,0,86.21,100,100,99.16
500,70,3,108.965853,28,23,5,470,2,82.14,99.58,92,98.95
500,75,3,114.764751,32,25,7,468,0,78.12,100,100,98.53
500,10,4,23.879159,83,25,58,417,0,30.12,100,100,87.79
500,20,4,37.842798,59,25,34,441,0,42.37,100,100,92.84
500,25,4,43.303685,55,25,30,445,0,45.45,100,100,93.68
500,30,4,50.135383,52,25,27,448,0,48.08,100,100,94.32
500,40,4,64.130124,54,25,29,446,0,46.3,100,100,93.89
500,50,4,79.457076,57,24,33,442,1,42.11,99.77,96,93.05
500,60,4,94.577787,64,25,39,436,0,39.06,100,100,91.79
500,70,4,108.225157,47,25,22,453,0,53.19,100,100,95.37
500,75,4,124.274031,44,24,20,455,1,54.55,99.78,96,95.79
500,10,5,28.147618,130,25,105,370,0,19.23,100,100,77.89
500,20,5,37.771164,87,25,62,413,0,28.74,100,100,86.95
500,25,5,44.831191,84,23,61,414,2,27.38,99.52,92,87.16
500,30,5,50.870245,90,25,65,410,0,27.78,100,100,86.32
500,40,5,63.858163,94,25,69,406,0,26.6,100,100,85.47
500,50,5,79.634409,93,25,68,407,0,26.88,100,100,85.68
500,60,5,96.880862,92,24,68,407,1,26.09,99.75,96,85.68
500,70,5,107.970383,90,25,65,410,0,27.78,100,100,86.32
500,75,5,117.984747,94,25,69,406,0,26.6,100,100,85.47
1000,10,2,92.378387,78,49,29,921,1,62.82,99.89,98,96.95
1000,20,2,143.141798,63,49,14,936,1,77.78,99.89,98,98.53
1000,25,2,167.359174,51,50,1,949,0,98.04,100,100,99.89
1000,30,2,191.049896,56,48,8,942,2,85.71,99.79,96,99.16
1000,40,2,249.315793,50,50,0,950,0,100,100,100,100
1000,50,2,301.370882,51,50,1,949,0,98.04,100,100,99.89
1000,60,2,357.490736,52,50,2,948,0,96.15,100,100,99.79
