indices,samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
1,250,10,2,,5,0,5,232,13,0,94.69,0,97.89
2,250,20,2,,12,1,11,226,12,8.33,94.96,7.69,95.36
3,250,25,2,,13,1,12,225,12,7.69,94.94,7.69,94.94
4,250,30,2,,16,0,16,221,13,0,94.44,0,93.25
5,250,40,2,,9,2,7,230,11,22.22,95.44,15.38,97.05
6,250,50,2,,9,1,8,229,12,11.11,95.02,7.69,96.62
7,250,10,3,,8,0,8,229,13,0,94.63,0,96.62
8,250,20,3,,7,0,7,230,13,0,94.65,0,97.05
9,250,25,3,,11,0,11,226,13,0,94.56,0,95.36
10,250,30,3,,10,1,9,228,12,10,95,7.69,96.2
11,250,40,3,,14,0,14,223,13,0,94.49,0,94.09
12,250,50,3,,7,1,6,231,12,14.29,95.06,7.69,97.47
13,250,10,4,,18,0,18,219,13,0,94.4,0,92.41
14,250,20,4,,9,0,9,228,13,0,94.61,0,96.2
15,250,25,4,,11,1,10,227,12,9.09,94.98,7.69,95.78
16,250,30,4,,9,0,9,228,13,0,94.61,0,96.2
17,250,40,4,,8,0,8,229,13,0,94.63,0,96.62
18,250,50,4,,6,1,5,232,12,16.67,95.08,7.69,97.89
19,250,10,5,,10,3,7,230,10,30,95.83,23.08,97.05
20,250,20,5,,8,0,8,229,13,0,94.63,0,96.62
21,250,25,5,,10,0,10,227,13,0,94.58,0,95.78
22,250,30,5,,10,0,10,227,13,0,94.58,0,95.78
23,250,40,5,,9,0,9,228,13,0,94.61,0,96.2
24,250,50,5,,9,2,7,230,11,22.22,95.44,15.38,97.05
25,500,10,2,,15,1,14,461,24,6.67,95.05,4,97.05
26,500,20,2,,16,0,16,459,25,0,94.83,0,96.63
27,500,25,2,,13,0,13,462,25,0,94.87,0,97.26
28,500,30,2,,12,0,12,463,25,0,94.88,0,97.47
29,500,40,2,,14,3,11,464,22,21.43,95.47,12,97.68
30,500,50,2,,10,0,10,465,25,0,94.9,0,97.89
31,500,60,2,,13,1,12,463,24,7.69,95.07,4,97.47
32,500,70,2,,18,0,18,457,25,0,94.81,0,96.21
33,500,75,2,,19,1,18,457,24,5.26,95.01,4,96.21
34,500,10,3,,16,2,14,461,23,12.5,95.25,8,97.05
35,500,20,3,,21,2,19,456,23,9.52,95.2,8,96
36,500,25,3,,16,1,15,460,24,6.25,95.04,4,96.84
37,500,30,3,,17,0,17,458,25,0,94.82,0,96.42
38,500,40,3,,17,1,16,459,24,5.88,95.03,4,96.63
39,500,50,3,,19,1,18,457,24,5.26,95.01,4,96.21
40,500,60,3,,14,2,12,463,23,14.29,95.27,8,97.47
41,500,70,3,,16,1,15,460,24,6.25,95.04,4,96.84
42,500,75,3,,18,1,17,458,24,5.56,95.02,4,96.42
43,500,10,4,,12,1,11,464,24,8.33,95.08,4,97.68
44,500,20,4,,14,0,14,461,25,0,94.86,0,97.05
45,500,25,4,,20,1,19,456,24,5,95,4,96
46,500,30,4,,11,0,11,464,25,0,94.89,0,97.68
47,500,40,4,,16,2,14,461,23,12.5,95.25,8,97.05
48,500,50,4,,13,1,12,463,24,7.69,95.07,4,97.47
49,500,60,4,,17,2,15,460,23,11.76,95.24,8,96.84
50,500,70,4,,20,2,18,457,23,10,95.21,8,96.21
51,500,75,4,,17,0,17,458,25,0,94.82,0,96.42
52,500,10,5,,15,0,15,460,25,0,94.85,0,96.84
53,500,20,5,,12,0,12,463,25,0,94.88,0,97.47
54,500,25,5,,19,3,16,459,22,15.79,95.43,12,96.63
55,500,30,5,,15,0,15,460,25,0,94.85,0,96.84
56,500,40,5,,21,1,20,455,24,4.76,94.99,4,95.79
57,500,50,5,,14,0,14,461,25,0,94.86,0,97.05
58,500,60,5,,16,2,14,461,23,12.5,95.25,8,97.05
59,500,70,5,,17,2,15,460,23,11.76,95.24,8,96.84
60,500,75,5,,19,1,18,457,24,5.26,95.01,4,96.21
61,1000,10,2,,34,1,33,917,49,2.94,94.93,2,96.53
62,1000,20,2,,31,1,30,920,49,3.23,94.94,2,96.84
63,1000,25,2,,32,3,29,921,47,9.38,95.14,6,96.95
64,1000,30,2,,29,0,29,921,50,0,94.85,0,96.95
65,1000,40,2,,30,0,30,920,50,0,94.85,0,96.84
66,1000,50,2,,29,1,28,922,49,3.45,94.95,2,97.05
67,1000,60,2,,31,2,29,921,48,6.45,95.05,4,96.95
68,1000,70,2,,32,1,31,919,49,3.12,94.94,2,96.74
69,1000,75,2,,36,3,33,917,47,8.33,95.12,6,96.53
70,1000,80,2,,29,1,28,922,49,3.45,94.95,2,97.05
71,1000,90,2,,31,3,28,922,47,9.68,95.15,6,97.05
72,1000,100,2,,33,2,31,919,48,6.06,95.04,4,96.74
73,1000,10,3,,31,1,30,920,49,3.23,94.94,2,96.84
74,1000,20,3,,29,2,27,923,48,6.9,95.06,4,97.16
75,1000,25,3,,28,3,25,925,47,10.71,95.16,6,97.37
76,1000,30,3,,33,2,31,919,48,6.06,95.04,4,96.74
77,1000,40,3,,30,2,28,922,48,6.67,95.05,4,97.05
